,created_at,user,user_followers_count,full_text
0,2018-10-14 21:38:06,Cr23453,2412,Hollywood Actor Kendrick Sampson Makes Hateful Anti-White Comments at Beto O'Rourke Rally https://t.co/Odch5Ewt0U via @gatewaypundit
1,2018-10-14 21:38:06,LindaMo60594098,1312,"RT @tedcruz: So, do Texans agree w/ Beto’s campaign that “the Second Amendment needs a makeover?” https://t.co/nCY49nn7ay"
2,2018-10-14 21:38:06,zakasnak,4033,"RT @notwokieleaks: I don’t doubt people crave authenticity. 

It’s because  people who have grown up on “reality” TV and autotuned music ca…"
3,2018-10-14 21:38:06,TheCrone17,1711,"RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi…"
4,2018-10-14 21:38:05,theartofbreakng,388,@lynyrdsremmurd @vox_employee Beto isn't afraid to sweat
5,2018-10-14 21:38:04,katzoecat,1304,"@BetoORourke @6sidedcrystal Hey, Texas, make some history.  Get rid of that do-nothing Cruz and put some fresh blood into office.  Big money behind Cruz so everyone needs to get out there and vote.  Beto is the guy.  The right guy."
6,2018-10-14 21:38:04,LeighEPS,380,"RT @ChrisLoesch: When I see a Beto sign, my first reaction is disbelief. Texas is doing so great economically, leading the nation and the w…"
7,2018-10-14 21:38:04,mumofbeans,1869,"RT @BetoORourke: ""As the rain came down in Fort Worth, Congressman Beto O'Rourke stepped onto the stage having already made history."" https…"
8,2018-10-14 21:38:04,Lexi_Clair_,658,"RT @MrleeTx: You have Beto O’Rourke giving speeches in the rain for anyone who will listen, trying to save Texas. 

Then you have Cruz, won…"
9,2018-10-14 21:38:03,Dialmond,915,RT @grizzlemeister: Democrats regret sinking tons of money into Beto’s campaign where he’s fixing to have his A$S handed to him by Ted Cruz…
10,2018-10-14 21:38:02,EfranKlerigan,632,@Atolitoconelddo @EPalmaM1 @galvanochoa @ElUniversal_Mx @BeatrizGMuller @tatclouthier @JScherer_Ibarra @lopezobrador_ @mmariog @carloscolin7 @Ciudadano_Vik @05Cesgar @beto__34 https://t.co/hsb7GJEJ0q
11,2018-10-14 21:38:02,007Rukdme,2397,"RT @BetoORourke: ""As the rain came down in Fort Worth, Congressman Beto O'Rourke stepped onto the stage having already made history."" https…"
12,2018-10-14 21:38:02,onlyroot,3112,"RT @atDavidHoffman: What the hell is wrong with Texas? Republicans have one of the smarmiest men ever as their candidate for Senate, Ted Cr…"
13,2018-10-14 21:38:01,DimerDuda,207,RT @MatheusRuiDias: @DimerDuda Quase que a gente vai pro Beto carreiro
14,2018-10-14 21:38:01,mdmounts,232,"RT @tedcruz: Beto is already in top 10 Dem contenders for 2020, behind Bernie Sanders, Elizabeth Warren, Kamala Harris &amp; Spartacus. The fur…"
15,2018-10-14 21:38:00,DennGordon,1405,"RT @AriFleischer: This will be a one-day story, because Beto is a Democrat. If a Republican wrote this in college, women’s groups would pro…"
16,2018-10-14 21:37:59,Bennigans236,380,"RT @MrleeTx: You have Beto O’Rourke giving speeches in the rain for anyone who will listen, trying to save Texas. 

Then you have Cruz, won…"
17,2018-10-14 21:37:58,jreginalombardo,943,"RT @atDavidHoffman: What the hell is wrong with Texas? Republicans have one of the smarmiest men ever as their candidate for Senate, Ted Cr…"
18,2018-10-14 21:37:56,MapYourSuccess,4433,"RT @tedcruz: As Joe Kennedy drives Beto to campaign events, Robert DeNiro embraces Beto as the liberal Dem’s preferred 2020 presidential ca…"
19,2018-10-14 21:37:56,NeseneNfmon,310,RT @DowntroddenInDC: @tedcruz This gun owning Texan agrees with Beto. We do need a makeover and we do need to implement changes. We'll neve…
20,2018-10-14 21:37:54,Rexhandsome76,89,@Sasquatch011 @MSNBC @SenSherrodBrown https://t.co/6xaNPZRFbI he does lmfao
21,2018-10-14 21:37:53,CJsherrilll,385,"RT @MrleeTx: You have Beto O’Rourke giving speeches in the rain for anyone who will listen, trying to save Texas. 

Then you have Cruz, won…"
22,2018-10-14 21:37:53,NOTDaleJR88,1561,"RT @tedcruz: So, do Texans agree w/ Beto’s campaign that “the Second Amendment needs a makeover?” https://t.co/nCY49nn7ay"
23,2018-10-14 21:37:53,curious_oly,375,RT @AMHotFlash: Beto is speaking out on behalf of farmers in Texas. Tariffs and trade wars are worse for Texas than any other state in the…
24,2018-10-14 21:37:52,diversity4usaCL,1297,"RT @DBlack_Mountain: BETO O'ROURKE'S HAS BEEN A GRASSROOT CANDIDATE.

TRAVELING AND VISITING OVER 200 COUNTIES LISTENING TO THE NEEDS  OF H…"
25,2018-10-14 21:37:49,thumpervu,146,"RT @MrleeTx: You have Beto O’Rourke giving speeches in the rain for anyone who will listen, trying to save Texas. 

Then you have Cruz, won…"
26,2018-10-14 21:37:49,Diane_Reid123,915,"RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi…"
27,2018-10-14 21:37:49,savvy4me,1180,@fashmaria I’m for Beto!!
28,2018-10-14 21:37:49,bobike8,6455,"RT @DBlack_Mountain: BETO O'ROURKE'S HAS BEEN A GRASSROOT CANDIDATE.

TRAVELING AND VISITING OVER 200 COUNTIES LISTENING TO THE NEEDS  OF H…"
29,2018-10-14 21:37:48,Dennis17Viper,68411,"RT @1776Stonewall: Democrats continue to plunge in polls - Blackburn is now up 14 points, after Taylor Swift endorsed her opponent and desp…"
30,2018-10-14 21:37:46,VarpezJones,76,"RT @deeg25: I am Beto O'Rourke
When I was 26 I drove while highly intoxicated at a 75 mph speed, nearly hit a truck, crashed my car, then t…"
31,2018-10-14 21:37:44,TiagoAguiar1982,4621,"@Beto_Morumbi @RogerTricolor18 O Aguirre tá no limite dele, não passa disso, treinador retranqueiro, joga por 1 bola até no morumbi, a molecada que subiu não tem espaço com ele, preferia o Jardine!!!"
32,2018-10-14 21:37:43,WaywordKnight,5229,RT @dcexaminer: Big dollar checks flutter from liberal fingers for Beto O'Rourke https://t.co/19h0U7mNs6
33,2018-10-14 21:37:41,BermanJanis,63,RT @RadziwillLee: Just donated $500k to Beto O'Rourke because he's a kind human being.
34,2018-10-14 21:37:40,BobbiKi88765183,1174,RT @JGalt09: Democrats are now whining that they want some of fake Hispanic Robert #Beto O'Rourke's overflowing war chest.  They want to re…
35,2018-10-14 21:37:39,Arigarcial,379,"“Quieres andar de Niurka, pero no puedes hacer nada con esas pinches uñas” 
-Beto otoño del 2018."
36,2018-10-14 21:37:38,DonnerHeidi,201,RT @dcexaminer: Big dollar checks flutter from liberal fingers for Beto O'Rourke https://t.co/Gld9WuEJiz
37,2018-10-14 21:37:37,chascar731,10551,RT @jakepalmieri: WINNING! Ted Cruz soars in polls while Dems continue Beto lovefest https://t.co/v7Bh9YgEg8 https://t.co/c5m6WF6UjA
38,2018-10-14 21:37:36,Michell20606829,4413,"RT @RichardTBurnett: Texans: Soros emptying his bank account on Beto!

This race will set the tone for the whole night. Texans vote Red and…"
39,2018-10-14 21:37:33,lic2710,1883,RT @Bone_Brake: @MichaelAvenatti the CREEPY PORN LAWYER was CAUGHT SCAMMING DONATIONS from U.S. Senate Candidate (Beto) &amp; POCKETING HALF of…
40,2018-10-14 21:37:33,CutTheTreacle,6722,"RT @Trumpet1984: Show me the receipts!

I will donate $5 to @BetoORourke (running against Ted Cruz) for every receipt or cup from a restaur…"
41,2018-10-14 21:37:33,LeeAnnRobinson,267,"RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi…"
42,2018-10-14 21:37:33,DiegoMo89172974,5,"RT @elpasotimes: At El Paso rally, Ted Cruz challenges Democrats, Beto O'Rourke to 'Come and take it' https://t.co/b7iBvehmfD https://t.co/…"
43,2018-10-14 21:37:31,VengeanceIsOurs,20257,"RT @_ZacharyMiller: Beto O’Rourke’s campaign will be remembered for decades.

Not because it was successful, but because Democrats figured…"
44,2018-10-14 21:37:30,Casperinie,133,"@RivaVola Venezuela is a good example. It is possible to have limited government programs without going all the way to Socialism. Beto has openly campaigned for Socialist government. I'm in Tx, I see the adds."
45,2018-10-14 21:37:29,SeekingBlue,802,@HERC_N_AG @LukeRedjayhawk @mchayden100 @MrMWS444 @DrumpfKunt @MrsAngelaJolene @tedcruz @BetoORourke LOL! I’m no moron and my ass is just great. I gave you proof he’s been called #Beto since he was a kid. Why doesn’t @TedCruz call himself #Rafael? Why did #Cruz vote AGAINST the #ViolenceAgainstWomenAct? Or do you support #DomesticViolence too?
46,2018-10-14 21:37:27,bndy95,1677,"RT @RealJamesWoods: “O’Rourke kept getting labeled ‘Kennedyesque,’ but the adjective was never applied where the comparison is most accurat…"
47,2018-10-14 21:37:27,Chasjr58,65,"RT @deeg25: I am Beto O'Rourke
When I was 26 I drove while highly intoxicated at a 75 mph speed, nearly hit a truck, crashed my car, then t…"
48,2018-10-14 21:37:26,Otro_Beto,109,RT @JLFont001: Los centroamericanos tenemos Santo nuevo. Urge su intercesión por Nicaragua. Y por Guatemala. Y por El Salvador y por Hondur…
49,2018-10-14 21:37:26,Flyonfreedom,627,"RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi…"
